,Data,User,Pesan,Saham,Jam,Tanggal
106,107,Yudha,"Membalas : Bukannya di Haka ? Ini udah 7B dia jajan  
Asing haka, lokal haki, ntar ga lama di haka lg trus di haki lg  ",TRUS,2:42:28 PM,Tuesday April 6 2021
107,108,OmJhon,"Abba sdh ara 
Apakah MARI menyusul pak?","ABBA,MARI",2:42:00 PM,Tuesday April 6 2021
108,109,P007_MUHAMAD IKHSAN FIRDAUS_DEPOK,"Membalas : Same di haki terus ya bund MS duitnya di bid ga abis2  
Bukannya di Haka ? Ini udah 7B dia jajan  ",SAME,2:36:09 PM,Tuesday April 6 2021
109,110,Yudha,Same di haki terus ya bund MS duitnya di bid ga abis2  ,SAME,2:34:39 PM,Tuesday April 6 2021
110,111,Arief,"Membalas : pola apa ?  
yok nonton youtube the traders pak  ",POLA,2:32:26 PM,Tuesday April 6 2021
111,112,Kevin,ABBA kenapa ya bisa terbang,ABBA,2:32:02 PM,Tuesday April 6 2021
112,113,Fajar Oktavaria,"Membalas : Screen Shot 2021-04-06 at 13.51.36.png
pola apa ?  ",POLA,2:31:52 PM,Tuesday April 6 2021
113,114,Dream Big,"Membalas : BCAP lagi di akum, siap' terbang
yg jual EP, yg beli juga EP",BCAP,2:22:20 PM,Tuesday April 6 2021
114,115,Muhammag kuncoro,Bcap jeruk makan jeruk,BCAP,2:22:16 PM,Tuesday April 6 2021
115,116,Ahmad Rifai,"Membalas : ITMG dividen per lembar Rp.411, dividen interim Rp.307 sisanya dibagikan Rp.104 Cum : 15Apr ExDate : 16Apr
jir yield d harga skrng cuma 3,4% mending bjbr","BJBR,ITMG",2:22:07 PM,Tuesday April 6 2021
116,117,Jose - Aliran - YPC,"Membalas : BCAP kanan kiri EP
biasa ep akum, ntar tau2 ARA or ARB biasanya gitu, tp seringnya terbang sih",BCAP,2:21:58 PM,Tuesday April 6 2021
